date,open,high,low,close,adj_close,volume
2018-01-01,161.000000,163.899994,160.850006,161.500000,161.500000,7408273
2018-01-02,161.899994,162.500000,156.500000,157.949997,157.949997,11611821
2018-01-03,158.649994,159.600006,157.050003,157.850006,157.850006,8271671
2018-01-04,158.500000,165.300003,157.500000,163.899994,163.899994,17214456
2018-01-05,165.149994,166.500000,161.250000,161.800003,161.800003,11233822
2018-01-08,162.100006,164.050003,160.800003,161.649994,161.649994,6316362
2018-01-09,161.750000,165.399994,161.600006,164.500000,164.500000,10305337
2018-01-10,164.250000,165.800003,161.050003,162.500000,162.500000,10993630
2018-01-11,162.500000,163.899994,161.600006,163.300003,163.300003,6879190
2018-01-12,163.750000,164.199997,160.350006,163.000000,163.000000,8826985
2018-01-15,163.500000,165.000000,162.800003,164.399994,164.399994,7054678
2018-01-16,164.600006,166.600006,156.199997,156.949997,156.949997,15621689
2018-01-17,156.949997,165.800003,154.550003,165.199997,165.199997,17556659
2018-01-18,169.000000,171.000000,160.699997,162.350006,162.350006,16765567
2018-01-19,162.000000,166.649994,161.449997,165.399994,165.399994,8533716
2018-01-22,166.000000,167.649994,163.199997,164.800003,164.800003,8918325
2018-01-23,164.949997,174.000000,164.500000,173.149994,173.149994,18168528
2018-01-24,173.149994,179.699997,170.350006,178.350006,178.350006,21139975
2018-01-25,178.800003,178.800003,166.449997,167.149994,167.149994,24579032
2018-01-29,168.300003,168.899994,161.300003,162.350006,162.350006,12013160
2018-01-30,162.000000,164.199997,159.800003,160.199997,160.199997,11158191
2018-01-31,159.199997,161.800003,155.500000,156.800003,156.800003,13420760
2018-02-01,158.050003,158.600006,151.750000,152.350006,152.350006,12039264
2018-02-02,150.199997,156.699997,148.199997,153.199997,153.199997,24420057
2018-02-05,150.600006,158.550003,149.000000,157.500000,157.500000,13827865
2018-02-06,150.000000,156.000000,148.000000,154.449997,154.449997,11335878
2018-02-07,156.000000,156.800003,152.699997,153.949997,153.949997,9997661
2018-02-08,154.000000,157.350006,153.500000,156.199997,156.199997,6839457
2018-02-09,153.250000,158.350006,152.500000,156.250000,156.250000,6223913
2018-02-12,159.000000,172.899994,159.000000,168.649994,168.649994,48926198
2018-02-14,167.000000,172.000000,163.800003,165.800003,165.800003,28561359
2018-02-15,163.899994,167.199997,157.100006,159.050003,159.050003,17565094
2018-02-16,159.399994,160.399994,150.600006,152.399994,152.399994,22647050
2018-02-19,150.000000,152.850006,138.199997,143.850006,143.850006,37226788
2018-02-20,140.500000,148.300003,140.300003,144.800003,144.800003,26441686
2018-02-21,146.750000,147.199997,142.300003,145.899994,145.899994,13511046
2018-02-22,144.050003,146.600006,142.300003,143.399994,143.399994,16126505
2018-02-23,145.699997,148.199997,144.699997,145.550003,145.550003,14280404
2018-02-26,148.000000,148.300003,143.199997,143.750000,143.750000,12120874
2018-02-27,143.399994,144.000000,138.199997,141.449997,141.449997,18251152
2018-02-28,139.000000,143.500000,138.000000,141.949997,141.949997,15443300
2018-03-01,141.800003,143.600006,137.800003,138.300003,138.300003,13912882
2018-03-05,137.000000,139.800003,136.250000,138.800003,138.800003,10501381
2018-03-06,140.899994,141.350006,134.149994,135.250000,135.250000,10841359
2018-03-07,133.100006,135.350006,128.550003,132.600006,132.600006,17616076
2018-03-08,134.500000,135.000000,129.899994,134.350006,134.350006,13361413
2018-03-09,135.600006,135.850006,130.800003,131.550003,131.550003,10445844
2018-03-12,132.000000,133.350006,128.100006,132.100006,132.100006,13816607
2018-03-13,132.149994,144.300003,131.050003,141.550003,141.550003,31216963
2018-03-14,139.149994,147.699997,137.300003,145.750000,145.750000,29093742
2018-03-15,144.350006,146.250000,142.550003,143.750000,143.750000,13300363
2018-03-16,143.699997,146.949997,142.600006,143.800003,143.800003,12380055
2018-03-19,143.899994,145.899994,130.000000,133.350006,133.350006,39455304
