date,news,close
2014-11-03,Customers in cities near metros too face curbs on free ATM usage Fall in 10-year G-sec yields opens up treasury gain opportunities for banks Bank credit up just 1.76% in March-Sept: RBI S&P downgrades IOB rating Life insurers’ new business premium collection dips 1.75% DHFL Pramerica posts ₹11.3-cr profit Max Life profit rises 14 % Indian Bank sanctions ₹14-cr home loans at Vizag mela IAN invests in social enterprise Inthree Bank of India Q2 net up 26.4% at Rs 786 cr,190.009995
2014-11-05,Unlicensed coop banks to be revived Slack economy: India Inc bats for rate cut Lakshmi Vilas Bank completes 88 years Bank finance to NBFCs at a low; likely to make a turnaround soon Muthoot Finance Q2 net at ₹171 cr ARC Ratings to provide sovereign rating on India UBI decides to continue with five free ATM transactions RBI prescribes measures for banks to prevent cheque frauds Allahabad Bank revises term rates RBL Bank recognised as a Global Growth Company,190.529999
2014-11-07,"Bank of Baroda maintains asset quality Bank of Baroda Q2 net slips 5% on rise in taxes and provisions ‘Current ULIP rush linked to upswing in stock markets’ KVB opens 600th branch Corporation Bank net profit zooms Insurance companies to set up system to address complaints RBI not ready to cut rates despite inflation dip General insurers seek ₹10-lakh cap on liability in road accidents Bank of Maharashtra net surges Syndicate Bank Q2 net down 33% at Rs 315 cr; to raise Rs 1,100 cr through QIP",192.490005
2014-11-10,"Seminar on banks’ support for start-ups Select Committee to review Insurance Bill on Wednesday Repco Bank’s loan camp for traders Bank staff to strike work tomorrow, says union Bad loans continue to weigh on banks in second quarter RBI tightens norms for NBFCs Kerala: Bank accounts for all families Issue of non-CTS complaint DDs poses hardship to bank customers Dena Bank profit halves in Q2 Any Time Money turns dear",197.009995
2014-11-11,"‘Merger with SBI not on the radar now’ RBI’s new norms likely to ‘stifle’ NBFCs It pays to get insurance cover for education loan RBI nudges foreign banks into commercial space To get future ready, RBI re-drafts core purpose Kerala declares full banking coverage DCB Bank gets new VP Bank strike may hit trading volumes tomorrow IFC sells $162 m in offshore rupee bonds 2-day services conclave begins on Wednesday",202.410004
2014-11-12,"Blistering pace: 6.5 crore bank accounts opened so far under Jan Dhan scheme Bank credit picked up in second half of October Edelweiss Tokio Life expanding in South Lessons from Ramayana for central bankers Bank strike halts operations across country Call to rein in bank honchos AITUC extends support to bank strike ‘Ministry decision on IPO for UTI MF likely in a month’ Banking services hit in TN, Puducherry PSU bank staff go on strike; pvt banks remain open",203.759995
2014-11-13,"Call rates dip, bond yields rise The culture of loan waivers must end: Raghuram Rajan Non-CTS compliant cheques, drafts still in circulation Nabard may convert NBFC arm into a small bank Allahabad Bank to raise 500 cr through private placement Axis Bank sees faster growth in mobile transactions over ATM India Post prefers ‘full-fledged bank licence’ India Post wants to become a universal bank Children mimic parents’ money habits, spending habits even more: Survey RBI against loan waiver scheme by state govts",199.990005
2014-11-14,"SBI to launch ‘dynamic rating’ to curb bad loans FinMin notifies liberalised depository scheme ABN Amro to cut up to 1,000 jobs as customers shift online FIPB clears HDFC Bank’s proposal to hike foreign holding to 74% SBI indicates capital raising plans SBI Q2 net rises 30% to Rs 3,100 cr IBA ties up with UN body to take financial education to schools 80% of households have at least one bank account WTO: Advantage India as peace clause to be fully re-written Manufacturing needs to become fashionable: Amitabh Kant",202.960007
2014-11-17,"Lulu Forex branch FinMin, banks to discuss setting up ultra small branches in rural areas SBH opens e-connect at airport IBA getting students on the banking bandwagon Investment in KVP will double in 100 months ‘The latest NBFC regulations are retrograde’  New director nominated on RBI board Rate cut by RBI will give ‘good fillip’ to economy: Jaitley Axis Bank hits overseas debt market with $500 m issue Public sector banks to capitalise on rural banking via technology: Report",211.5
2014-11-18,"ICICI Pru expects RBI to cut rates only in March 2015 Availability of funds is now a lesser challenge than the opportunity to lend: Federal Bank chief Rural banking turning into a profitable enterprise: Crisil Financial sector to plead against service tax on remittances Life insurers cry foul, say delay in product approvals hurting business Axis Bank raises $500 mn through overseas bonds FM’s thoughts, actions to augur well for economy: Citi 74% accounts in Jan Dhan Yojana are with zero balance 'Easy collect' service launched for SBI Life customers at Mumbai branch No PAN requirement for investment in Kisan Vikas Patra",211.199997
2014-11-19,"Canara Bank opens 109 branches SBP opens branch in Bandra Now, take a loan and land a bank job Rectify flaws in hiring of bank clerks: union to Govt Exim Bank to set up ₹1,500-cr fund to assist ship-building industry Jaitley to meet PSB chiefs on Thursday Axis Bank to increase unsecured retail portfolio Bharatiya Mahila Bank launches net banking To avoid rush, RBI asks firms to remit taxes early Jan Dhan scheme: FinMin asks LIC to speed up execution of life cover",208.009995
2014-11-20,"Western Union offers IMPS transfers Association of third-party administrators intervenes in Bombay High Court PIL ‘Inform customers in advance about fall in minimum balance’ Private banks lag PSU lenders in account opening Rising NPAs legacy issue, things will change: FinMin No insurance cover for Govt staff, tax payers It’s a momentous deal for us: Uday Kotak Kotak-ING Vysya merger: good fit, good deal RBI allows FIIs to buy equity in Yes Bank Kotak Bank acquires ING Vysya for ₹15,000 crore",205.100006
2014-11-21,"Supreme Court ruling on e-records is a timely reminder for banks SBI revises service charges to shore up income Kotak-ING merger opens the door for more consolidation Power producers seek RBI help, want lending norms relaxed China cuts rates to spur growth 48 new power projects approach banks for ₹1.5-lakh cr funding RBI warns public about fraudsters issuing credit cards in its name Corp Bank Jan Dhan camp IRDA seeks previous 4 years’ data from life insurers Standard Chartered opens 100th branch in UP",207.729996
2014-11-24,"‘Don’t downgrade power sector loans till Sept 2015’ Corp Bank rolls out new services Banks open 7.73 cr Jhan Dhan accounts Private life insurers see revival of interest in unit-linked insurance plans XL Group opens office in Bengaluru Stay away from imposter NBFCs: RBI LIC to meet 20% of new biz premium target in Q3 Andhra Bank Coimbatore zone targets Rs 5,000 cr business this fiscal Insurers must be given free hand to hike agent commission: IRDA chief A trendsetter bank merger?",208.050003
2014-11-25,"Corp Bank opens branch Canara Bank partners Micro Energy Jaitley to review Jan Dhan scheme on Wednesday Public sector banks top Jan Dhan score at halftime SBI draws up social media code, warns of disciplinary action against non-compliance RBI can offer more flexibility in loan restructuring RBI ready to give more flexibility in recasting distressed loans ING Vysya buyout credit positive for Kotak: report Kotak Mahindra gets RBI approval to enter general insurance business Fearing slip in Q2 growth, Centre may press RBI for rate cut",202.309998
2014-11-26,"Move to outsource investment functions of insurance, pension funds opposed Accurate, timely data essential to check credit worthiness: Credit Information Bureau Credit score: CIBIL eyes phone, power bills data Nippon Life to hike stake in Reliance Capital to 49% FinMin may rework strategy to facilitate easier education loans Exim Bank to help States draw up export policies PNB announces free ATM usage for customers Public sector banks face tough sell on capital raising plan RBI warns against novel bond structure John Tharakan is South Indian Bank additional director",202.330002
2014-11-27,"Small banks can lend to small businesses Third party motor cover: IRDA reduces provisioning for insurers RBI issues final norms for small, payment banks Banks allowed to lend against infra, housing bonds issued by them A dampener for telecom companies with 100% FDI Retailers eye more revenue channel in payment bank Payment banks can accept deposits up to ₹1 lakh/customer Mumbai to host women bank employees’ meet Jan Dhan target revised upwards to 10 crore accounts RBI eases rules for low-cost home loans",203.050003
2014-11-28,"PNB MetLife posts ₹122-cr profit Forex reserves down $672.4 million Corp Bank’s free ATM transactions MSME online loan facility PNB MetLife H1 net rises 34% at Rs 122 cr India’s forex reserves down $672.4 mn PNB MetLife posts Rs 122 cr profit in H1 Call on listing only after insurance Bill is passed, says Bajaj Allianz Life CEO Corp Bank offers unlimited transactions at ATMs Coal block cancellation: PSBs may lose over Rs 96,000 cr",217.440002
2014-12-01,"RBI may not bow to rate-cut pressure Rupee ends flat at 62.02 New India targeting premium income of ₹16,300 cr this fiscal Centre invites suggestions from public to help improve banks’ performance Wage discord: bank staff to begin relay strike today Implement the Swaminathan panel formula: Venkaiah Coal block sale: reverse auction method could be advantage private power producers Heavy Industry Ministry seeks higher import duty on power equipment Core industries record 6.3% growth in October Govt urged to reconsider move to cut social sector spending",216.52999900000003
2014-12-02,"Prizm Payments, Muthoot Fincorp launch white label ATMs in Kerala ‘We are not combatants, we are on the same side’ Soon, more leeway for firms to convert loans into equity No Christmas gift, but some cheer for the New Year Public sector insurers ready to create N-insurance pool sans inspection RBI chief tells India Inc to think long term DHFL Pramerica keen to buy “strategic stake” in small banks, NBFCs: CEO Bank of Bahrain and Kuwait Delhi branch offers full-fledged services RBI Monetary Policy: Review by Satyanarayan Iyer Finance Ministry looks forward to RBI supporting growth revival and employment",216.910004
2014-12-03,"IRDA orders audit of Future Generali Life Insurance ICICI Bank, HDFC Bank cut deposit rates ‘Future Group is ready to enter payment banking’ Axis Bank set to ride the mobile banking wave Monetary Policy: Realty sector unhappy Monetary Policy: G-Sec yield below RBI’s benchmark repo rate Canara Bank wins trophy Monetary Policy: Experts see shift to floating rate home loans Bank strike hits services in the South RBI to raise cap on foreign investments in sovereign bonds",217.830002
2014-12-04,"JLT Independent launches insurance business in India RBI announces norms for trade receivables discounting system Internet frauds: Banks cannot wash their hands off Federal Bank cover for students General insurance business may ‘break even in 5 years’ SBI to conduct ‘early review’ of loans sanctioned to SMEs Corp Bank to open 200 ‘Corp Excel’ branches in a year karnataka: Vijaya Bank Jan Dhan drive Axis Bank raises Rs 5,700 cr through infra bonds  RBI keen on pushing mobile banking",217.039993
2014-12-05,Don’t replace Gandhiji with other leaders on banknotes: RBI KVG Bank employees to adopt villages Karnataka Bank financial literacy centre Group medical premium rates for corporates likely to rise 15% RBI eases norms for White Label ATM operators ICICI Bank sells Russian subsidiary to Sovcombank ICICI Bank to sell its Russian subsidiary The wait for cheaper bank loans could end soon HDFC Bank to cut lending rate by March: Aditya Puri SBI cuts deposit rate by 25 bps,220.910004
2014-12-08,"ICICI Bank to cap use of ATMs, will charge for exceeding limit Kotak Mahindra Bank to focus more on retail banking SBI General hopes to break even next fiscal, says CEO Sarma Corporation Bank shifts focus to retail, MSME and farm loans Experts highlight troubles facing agri-finance  Kotak Mahindra launches savings account of older customers LIC agents to stage dharna in Mumbai on Wed SBI to take part in Arab Asia Business Partnership Summit 2014 ‘Uber complying with RBI norms for payment system’ LVB cuts domestic term deposit rates",217.0
